doc_id,original_text,processed_text
47,How much is 30 kV in HP?,much kv hp
48,Where can I find a conversion chart for CC to horsepower?,find convers chart cc horsepow
49,What does it mean that every time I look at the clock the numbers are the same?,mean everi time look clock number
50,How many times a day do a clock’s hands overlap?,mani time day clock ’ hand overlap
51,What are some tips on making it through the job interview process at Medicines?,tip make job interview process medicin
52,What are some tips on making it through the job interview process at Foundation Medicine?,tip make job interview process foundat medicin
53,What is web application?,web applic
54,What is the web application framework?,web applic framework
55,Does society place too much importance on sports?,societi place much import sport
56,How do sports contribute to the society?,sport contribut societi
57,What is best way to make money online?,best way make money onlin
58,What is best way to ask for money online?,best way ask money onlin
59,How should I prepare for CA final law?,prepar ca final law
60,How one should know that he/she completely prepare for CA final exam?,one know he/sh complet prepar ca final exam
61,What's one thing you would like to do better?,'s one thing would like better
62,What's one thing you do despite knowing better?,'s one thing despit know better
63,What are some special cares for someone with a nose that gets stuffy during the night?,special care someon nose get stuffi night
64,How can I keep my nose from getting stuffy at night?,keep nose get stuffi night
65,What Game of Thrones villain would be the most likely to give you mercy?,game throne villain would like give merci
66,What Game of Thrones villain would you most like to be at the mercy of?,game throne villain would like merci
67,"Does the United States government still blacklist (employment, etc.) some United States citizens because their political views?",unit state govern still blacklist employ etc unit state citizen polit view
68,How is the average speed of gas molecules determined?,averag speed ga molecul determin
69,What is the best travel website in spain?,best travel websit spain
70,What is the best travel website?,best travel websit
71,Why do some people think Obama will try to take their guns away?,peopl think obama tri take gun away
72,Has there been a gun control initiative to take away guns people already own?,gun control initi take away gun peopl alreadi
73,I'm a 19-year-old. How can I improve my skills or what should I do to become an entrepreneur in the next few years?,'m -year-old improv skill becom entrepreneur next year
74,I am a 19 year old guy. How can I become a billionaire in the next 10 years?,year old guy becom billionair next year
75,"When a girlfriend asks her boyfriend ""Why did you choose me? What makes you want to be with me?"", what should one reply to her?",girlfriend ask boyfriend `` choos make want `` one repli
76,My girlfriend said that we should end this because she is confused about her feelings for me. I wished her well and disconnected. Should I call her and ask her if she wants to get back together?,girlfriend said end confus feel wish well disconnect call ask want get back togeth
77,How do we prepare for UPSC?,prepar upsc
78,How do I prepare for civil service?,prepar civil servic
79,What is the stall speed and AOA of an f-14 with wings fully swept back?,stall speed aoa f- wing fulli swept back
80,"Why did aircraft stop using variable-sweep wings, like those on an F-14?",aircraft stop use variable-sweep wing like f-
81,Why do Slavs squat?,slav squat
82,Will squats make my legs thicker?,squat make leg thicker
83,When can I expect my Cognizant confirmation mail?,expect cogniz confirm mail
84,When can I expect Cognizant confirmation mail?,expect cogniz confirm mail
85,"Can I make 50,000 a month by day trading?",make month day trade
86,"Can I make 30,000 a month by day trading?",make month day trade
87,Is being a good kid and not being a rebel worth it in the long run?,good kid rebel worth long run
88,Is being bored good for a kid?,bore good kid
89,What universities does Rexnord recruit new grads from? What majors are they looking for?,univers rexnord recruit new grad major look
90,What universities does B&G Foods recruit new grads from? What majors are they looking for?,univers b g food recruit new grad major look
91,What is the quickest way to increase Instagram followers?,quickest way increas instagram follow
92,How can we increase our number of Instagram followers?,increas number instagram follow
93,How did Darth Vader fought Darth Maul in Star Wars Legends?,darth vader fought darth maul star war legend
94,Does Quora have a character limit for profile descriptions?,quora charact limit profil descript
95,"What are the stages of breaking up between couple? I mean, what happens after the breaking up emotionally whether its a male or female?",stage break coupl mean happen break emot whether male femal
96,"Who is affected more by a breakup, the boy or the girl?",affect breakup boy girl
97,What are some examples of products that can be make from crude oil?,exampl product make crude oil
98,What are some of the products made from crude oil?,product made crude oil
99,How do I make friends.,make friend
100,How to make friends ?,make friend
101,Is Career Launcher good for RBI Grade B preparation?,career launcher good rbi grade b prepar
102,How is career launcher online program for RBI Grade B?,career launcher onlin program rbi grade b
103,"Will a Blu Ray play on a regular DVD player? If so, how?",blu ray play regular dvd player
104,How can you play a Blu Ray DVD on a regular DVD player?,play blu ray dvd regular dvd player
105,Nd she is always sad?,nd alway sad
106,Aerodynamically what happens when propellor rotates?,aerodynam happen propellor rotat
107,What is the best/most memorable thing you've ever eaten and why?,best/most memor thing 've ever eaten
108,What is the most delicious dish you've ever eaten and why?,delici dish 've ever eaten
109,How GST affects the CAs and tax officers?,gst affect ca tax offic
110,Why can't I do my homework?,ca n't homework
111,How difficult is it get into RSI?,difficult get rsi
112,Do you apply for programs like RSI when you're a rising senior?,appli program like rsi 're rise senior
113,Who is israil friend?,israil friend
114,Is my boyfriend lying about his true feelings for his friend and is he secretly attracted to her?,boyfriend lie true feel friend secretli attract
115,What are some good rap songs to dance to?,good rap song danc
116,What are some of the best rap songs?,best rap song
117,I was suddenly logged off Gmail. I can't remember my Gmail password and just realized the recovery email is no longer alive. What can I do?,suddenli log gmail ca n't rememb gmail password realiz recoveri email longer aliv
118,I can't remember my Gmail password or my recovery email. How can I recover my e-mail?,ca n't rememb gmail password recoveri email recov e-mail
119,What are the best ways to learn French?,best way learn french
120,How do I learn french genders?,learn french gender
121,How do I download content from a kickass torrent without registration?,download content kickass torrent without registr
122,Is Kickass Torrents trustworthy?,kickass torrent trustworthi
123,Is it normal to have a dark ring around the iris of my eye?,normal dark ring around iri eye
124,What causes a dark ring around the iris? How should it be treated?,caus dark ring around iri treat
125,How is the new Harry Potter book 'Harry Potter and the Cursed Child'?,new harri potter book 'harri potter cur child
126,How bad is the new book by J.K Rowling?,bad new book j.k rowl
127,Why do I always get depressed?,alway get depress
128,Why do I always get depressed in the evening?,alway get depress even
129,Where can I find a European family office database?,find european famili offic databas
130,Where do I find a U.S. family office database?,find u.s. famili offic databas
131,What is Java programming? How To Learn Java Programming Language ?,java program learn java program languag
132,How do I learn a computer language like java?,learn comput languag like java
133,What is the best book ever made?,best book ever made
134,What is the most important book you have ever read?,import book ever read
135,Can we ever store energy produced in lightning?,ever store energi produc lightn
136,Is it possible to store the energy of lightning?,possibl store energi lightn
137,What is your review of Performance Testing?,review perform test
138,What is performance testing?,perform test
139,At what cost does so much privacy as in Germany come? What else is lost to gain so much privacy?,cost much privaci germani come el lost gain much privaci
140,Are there any people who genuinely enjoy salad with no dressing?,peopl genuin enjoy salad dress
141,What are the types of immunity?,type immun
142,What are the different types of immunity in our body?,differ type immun bodi
143,What is a narcissistic personality disorder?,narcissist person disord
144,What is narcissistic personality disorder?,narcissist person disord
145,How I can speak English fluently?,speak english fluentli
146,How can I learn to speak English fluently?,learn speak english fluentli
147,How helpful is QuickBooks' auto data recovery support phone number to recover your corrupted data files?,help quickbook auto data recoveri support phone number recov corrupt data file
148,What is the quickbooks customer support phone number USA?,quickbook custom support phone number usa
149,Who is the richest gambler of all time and how can I reach his level?,richest gambler time reach level
150,Who is the richest gambler of all time and how can I reach his level as a gambler?,richest gambler time reach level gambler
151,If I fire a bullet backward from an aircraft going faster than the bullet; will the bullet be going backwards?,fire bullet backward aircraft go faster bullet bullet go backward
152,"Do bullets travel faster than the speed of sound when shot from a gun? If not, is it possible? If they do, what gun and how much devastation occurs?",bullet travel faster speed sound shot gun possibl gun much devast occur
153,How do I prevent breast cancer?,prevent breast cancer
154,Is breast cancer preventable?,breast cancer prevent
155,How do I log out of my Gmail account on my friend's phone?,log gmail account friend 's phone
156,How can I know who logged in to my Gmail account? (by telling his IP address or device name)?,know log gmail account tell ip address devic name
157,How can I make money through the Internet?,make money internet
158,"What are some different ways to make money online, excluding selling things?",differ way make money onlin exclud sell thing
159,What is purpose of life?,purpos life
160,What's the purpose of life? What is life actually about?,'s purpos life life actual
161,When will the BJP government strip all the Muslims and the Christians of the Indian citizenship and put them on boats like the Rohingya's of Burma?,bjp govern strip muslim christian indian citizenship put boat like rohingya 's burma
162,"Why India does not apply the ""Burma-Rohingya model"" to deport illegal Bangladeshis?",india appli `` burma-rohingya model '' deport illeg bangladeshi
163,What is the right etiquette for wishing a Jehovah Witness happy birthday?,right etiquett wish jehovah wit happi birthday
164,How important is it to be the first person to wish someone a happy birthday?,import first person wish someon happi birthday
165,"If someone wants to open a commercial FM radio station in any city of India, how much does it cost and what is the procedure?",someon want open commerci fm radio station citi india much cost procedur
166,"I want to make a travel commercial/clip video HD , For India and New Zealand. How much will it cost?",want make travel commercial/clip video hd india new zealand much cost
167,Why do Swiss despise Asians?,swiss despis asian
168,Why do technical employees despise sales people so much?,technic employe despis sale peopl much
169,What are some of the high salary income jobs in the field of biotechnology?,high salari incom job field biotechnolog
170,What are some high paying jobs for a fresher with an M.Tech in biotechnology?,high pay job fresher m.tech biotechnolog
171,How can I increase my height after 21 also?,increas height also
172,Can height increase after 25?,height increas
173,"What were the major effects of the cambodia earthquake, and how do these effects compare to the Kamchatca earthquakes in 1952?",major effect cambodia earthquak effect compar kamchatca earthquak
174,"What were the major effects of the cambodia earthquake, and how do these effects compare to the Valparaiso earthquake in 1822?",major effect cambodia earthquak effect compar valparaiso earthquak
175,What is the difference between sincerity and fairness?,differ sincer fair
176,What's the difference between honest and sincere?,'s differ honest sincer
177,Which is the best gaming laptop under 60k INR?,best game laptop k inr
178,Which is the best gaming laptop under Rs 60000?,best game laptop r
179,What is your review of The Next Warrior: Proving Grounds - Part 9?,review next warrior prove ground part
180,What is your review of The Next Warrior: Proving Grounds - Part 5?,review next warrior prove ground part
181,What is the best reference book for physics class 11th?,best refer book physic class th
182,"Which book should I choose for reference for physics and chemistry (class 11, CBSE board)?",book choos refer physic chemistri class cbse board
183,"National Institute of Technology, Kurukshetra: How is the social life at NITK, Surathkal?",nation institut technolog kurukshetra social life nitk surathk
184,"National Institute of Technology Karnataka (NITK) , Surathkal: To the graduating batch: What lessons would you want to give to your juniors before you leave?",nation institut technolog karnataka nitk surathk graduat batch lesson would want give junior leav
185,What are some of the best romantic movies in English?,best romant movi english
186,What is the best romantic movie you have ever seen?,best romant movi ever seen
188,What causes nightmares that seem real?,caus nightmar seem real
189,What is abstract expressionism in painting?,abstract expression paint
190,What are some of the major influences of abstract expressionism?,major influenc abstract expression
191,How does 3D printing work?,print work
192,How do 3D printing work?,print work
193,What was it like to attend Caltech with Jeremy Ehrhardt?,like attend caltech jeremi ehrhardt
194,Who are some notable folks who attended Caltech?,notabl folk attend caltech
195,Why did harry become a horcrux?,harri becom horcrux
196,What is a Horcrux?,horcrux
197,What are the best associate product manager (APM) programs that someone in their early 20s can join to learn product management and have a rewarding career in the company?,best associ product manag apm program someon earli join learn product manag reward career compani
198,What are the general requirement to become a Product Manager or a Program Manager in a product based software company?,gener requir becom product manag program manag product base softwar compani
199,Why is the number for Skype at 1-855-425-3768 always busy?,number skype -- alway busi
200,How could I get Skype to work on an android 4.1.1 phone?,could get skype work android .. phone
201,Will there really be any war between India and Pakistan over the Uri attack? What will be its effects?,realli war india pakistan uri attack effect
202,Will there be a nuclear war between India and Pakistan?,nuclear war india pakistan
203,Did Ronald Reagan have a mannerism in his speech?,ronald reagan manner speech
204,How did Ronald Reagan react to 9/11?,ronald reagan react
205,What were the war strategies of the Union and the Confederates during the Civil War?,war strategi union confeder civil war
206,How could the Confederates have possibly defeated Union forces at Gettysburg during the American Civil War?,could confeder possibl defeat union forc gettysburg american civil war
207,Which is the best fiction novel of 2016?,best fiction novel
208,Which are some of the best fiction novels?,best fiction novel
209,Can I recover my email if I forgot the password?,recov email forgot password
210,What should I do if I forgot my email password?,forgot email password
211,Will the recent demonetisation results in higher GDP? If so how much?,recent demonetis result higher gdp much
212,How demonetisation could affect the GDP of India in both short run and long run?,demonetis could affect gdp india short run long run
213,Have you ever heard of travel hacking?,ever heard travel hack
214,Can WhatsApp be hacked?,whatsapp hack
215,What's the difference between love and pity?,'s differ love piti
216,What is the difference between love and pity?,differ love piti
217,How competitive is the hiring process at Republic Bank?,competit hire process republ bank
218,How competitive is the hiring process at S & T Bank?,competit hire process bank
219,How Google helps in spam ranking adjustment of the search results?,googl help spam rank adjust search result
220,"What is the distribution of traffic between Google organic search results? e.g. #1 vs. #2 in rankings, first page vs. second page",distribut traffic googl organ search result e.g vs. rank first page vs. second page
221,Where can I watch gonulcelen with english subtitles?,watch gonulcelen english subtitl
222,Where can I watch sarrainodu with subtitles?,watch sarrainodu subtitl
223,Is USA the most powerful country of the world?,usa power countri world
224,Why is the USA the most powerful country of the world?,usa power countri world
225,How do you obtain an instant ulcer pain relief?,obtain instant ulcer pain relief
226,What is better for a low back pain: heat or ice?,better low back pain heat ice
227,What do you think China food?,think china food
228,How do you think of Chinese food?,think chine food
229,What does taking advantage of someone mean?,take advantag someon mean
230,Is it worse to take advantage of someone or be materialistic?,wors take advantag someon materialist
231,Why do we cry when we are happy and when we are sad?,cri happi sad
232,Why do we cry?,cri
233,Why do some girls like to stick their their tongues out when taking pictures?,girl like stick tongu take pictur
234,Why do teen girls (and women in general) allow their boyfriends to take naked pictures of them in this day and (digital) age?,teen girl woman gener allow boyfriend take nake pictur day digit age
235,"Did you find the ending of the novel ""1984"" depressing?",find end novel `` '' depress
236,"How do Winston and Julia differ in the novel ""1984""? How are they similar?",winston julia differ novel `` '' similar
237,What are some mind-blowing computer tools that exist that most people don't know about?,mind-blow comput tool exist peopl n't know
238,What are some mind-blowing technologies that exist that most people don't know about?,mind-blow technolog exist peopl n't know
239,Should the toothbrush be wet or dry before applying the toothpaste?,toothbrush wet dri appli toothpast
240,What is the cheapest toothpaste?,cheapest toothpast
241,Why my question was marked as needing imrovement?,question mark need imrov
242,How can I ask a question without getting marked as ‘need to improve’?,ask question without get mark ‘ need improv ’
243,What is the difference between a neutral state and a buffer state?,differ neutral state buffer state
244,"If every state of the USA declared war against each other, which would win?",everi state usa declar war would win
245,What mineral holds the highest electrical charge?,miner hold highest electr charg
246,What mineral can hold the greatest electrical charge?,miner hold greatest electr charg
247,What is the greatest mystery in the universe?,greatest mysteri univers
248,What is the greatest mystery of all time?,greatest mysteri time
249,What is the alternative to machine learning?,altern machin learn
250,How do I over-sample a multi-class imbalance data set?,over-sampl multi-class imbal data set
251,"Why does China block sanctions at the UN against the Jaish-e-Mohammad (JeM) chief, Masood Azhar?",china block sanction un jaish-e-mohammad jem chief masood azhar
252,Why does China support Masood Azhar?,china support masood azhar
253,What is the mean of future budget?,mean futur budget
254,What is the meaning of the future?,mean futur
255,Can excessive amounts of Vitamin C cause me to have a miscarriage?,excess amount vitamin c caus miscarriag
256,How can Vitamin C cause a miscarriage?,vitamin c caus miscarriag
257,What is it like to work in Asahi India Glass? What will be the pay scale after one or two years?,like work asahi india glass pay scale one two year
258,When will we get the Call Letter after we get the Letter of Intent in Asahi India Glass recruitment?,get call letter get letter intent asahi india glass recruit
259,How do I access Torbox in India?,access torbox india
260,How do I access Google.com from India?,access google.com india
261,What are some yakshini mantras?,yakshini mantra
262,What is a Yantra & Mantra?,yantra mantra
263,Was six party talks successful?,six parti talk success
264,Which course is better in NICMAR?,cours better nicmar
265,How do I register my domain site email?,regist domain site email
266,How do you register a .an domain?,regist .an domain
267,Is it normal for older men to be attracted to young women?,normal older men attract young woman
268,Why am I attracted to older men?,attract older men
269,What is the strongest structure or strongest shape under compression?,strongest structur strongest shape compress
270,What is the strongest Kevlar cord?,strongest kevlar cord
271,Who are the Rohingya Muslims?,rohingya muslim
272,Who are the Rohingya people?,rohingya peopl
274,Does it matter whether humanity is evil or not?,matter whether human evil
275,Are exocytosis and endocytosis examples of active or passive transport?,exocytosi endocytosi exampl activ passiv transport
276,What are examples of passive transport in cells?,exampl passiv transport cell
277,How i get hair on bald head?,get hair bald head
278,"If I shave my head for 2 years as am getting bald and then grew my hair, will the hair will be same as when I intially have? Or I loose more hair?",shave head year get bald grew hair hair intial loo hair
279,What is the ideal life after retirement?,ideal life retir
280,What's life after retirement?,'s life retir
281,What is our stance against Pakistan?,stanc pakistan
282,What is the stance of Pakistan in the possession of weapons of mass destruction by North korea? Does it support DPRK or is it against DPRK?,stanc pakistan possess weapon mass destruct north korea support dprk dprk
283,What are good websites for escorts?,good websit escort
284,How do I find a good escort?,find good escort
285,Which one is better polo diesel or grand i10 petrol?,one better polo diesel grand petrol
286,What is the best diet for a growing decathlete?,best diet grow decathlet
287,Does a black hole have mass?,black hole mass
288,Does a black hole have a finite mass?,black hole finit mass
289,"Is Morgan Freeman correct when he says the only way to stop racism, is to stop talking about it?",morgan freeman correct say way stop racism stop talk
290,What are your views about this Morgan Freeman quote about Racism?,view morgan freeman quot racism
291,Does Fab currently offer new employees stock options or RSUs?,fab current offer new employe stock option rsu
292,Does Uber currently offer new employees stock options or RSUs?,uber current offer new employe stock option rsu
293,How would you review the site Waveclues?,would review site waveclu
294,Is there a good pay for reviews site out there?,good pay review site
295,In how many ways can we distribute 10 identical looking pencils to 4 students so that each student gets at least one pencil?,mani way distribut ident look pencil student student get least one pencil
296,In how many ways 12 apples can be distributed among 4 children such that every child gets at least 2 apples?,mani way appl distribut among child everi child get least appl
297,How much would it cost to hire Jerry Seinfeld for 1-2 hours?,much would cost hire jerri seinfeld hour
298,How much on average would it cost to video tape a 2 hour presentation?,much averag would cost video tape hour present
299,Is 7 days too late for rabies vaccine after a possible non-bite exposure?,day late rabi vaccin possibl non-bit exposur
300,Can I take rabies injection after 1 day of dog bite?,take rabi inject day dog bite
301,How many years Britain ruled India?,mani year britain rule india
302,What is the standard amount of time off given for an international relocation?,standard amount time given intern reloc
303,How can I stop being afraid of working?,stop afraid work
304,How do you stop being afraid of everything?,stop afraid everyth
305,Why does Red keep the keys in OITNB?,red keep key oitnb
306,Why does Red keep the keys in season 4 of Orange is the New Black?,red keep key season orang new black
307,At what age should someone lose their virginity?,age someon lose virgin
308,"At what age, how, and where did you lose your virginity?",age lose virgin
309,How forgetful are you?,forget
310,How can I forget my wife?,forget wife
311,Could Snoke secretly be Darth Maul?,could snoke secretli darth maul
312,How could Snoke be Darth Plagueis if he was killed by Emperor Palpatine?,could snoke darth plaguei kill emperor palpatin
314,How do you upload movies on YouTube and monetize them? Is there any issue of copyright,upload movi youtub monet issu copyright
315,Would you switch from Canon 6D to Leica D-LUX 109?,would switch canon leica d-lux
316,What tripod should I get for my Canon 6D?,tripod get canon
317,What does the Quora website look like to members of Quora moderation?,quora websit look like member quora moder
319,Why nobody answer my questions in Quora?,nobodi answer question quora
320,Why is no one answering my questions in Quora?,one answer question quora
321,What is the funniest joke you know?,funniest joke know
322,What is the funniest joke of all time?,funniest joke time
323,"I got job offer @ Chelmsford-Essex, London with £3764 PM pay-after tax deduction. Pls advice tentative monthly expenses for couple? & saving possible?",got job offer chelmsford-essex london £ pm pay-aft tax deduct pl advic tent monthli expens coupl save possibl
324,"If I am leaving Norway, can I pay down my mortgage with my BSU account, and then sell my apartment without having to pay back the tax deduction I got for having BSU?",leav norway pay mortgag bsu account sell apart without pay back tax deduct got bsu
325,What are stereotypes about the United Kingdom?,stereotyp unit kingdom
326,What do Americans think about the United Kingdom?,american think unit kingdom
327,How do I use Twitter as a business source?,use twitter busi sourc
328,How can I use Twitter for business?,use twitter busi
329,How can I transfer money from Skrill to a PayPal account?,transfer money skrill paypal account
330,How can I send money from my PayPal account to my Skrill account to withdraw?,send money paypal account skrill account withdraw
331,Which is the best earphone with deep bass under 1000?,best earphon deep bass
332,Which is the Best earphones under Rs 1000?,best earphon r
333,Are government employees eligible to Sukanya Samrudi Yojana?,govern employe elig sukanya samrudi yojana
334,Can a Government employee apply IEC?,govern employe appli iec
335,Which is correct - 'Looking forward to speak with you' or 'Look forward to speak with you'?,correct 'look forward speak 'look forward speak
336,"Which is correct: ""speak with"" or ""speak to""?",correct `` speak '' `` speak ''
337,Which are the best engineering fields?,best engin field
338,What is the best field of engineering?,best field engin
339,How do you make life suit you and stop life from abusing you mentally and emotionally?,make life suit stop life abus mental emot
340,"Why are emotionally abusive people in my life? Several ex boyfriends, friends, and past coworkers/bosses have been abusers. Do I attract them?",emot abus peopl life sever ex boyfriend friend past coworkers/boss abus attract
341,What is the difference between gross salary and CTC?,differ gross salari ctc
342,"There seems to be a difference between my weekly paycheck and the yearly salary my employer agreed upon, how does that work?",seem differ weekli paycheck yearli salari employ agre upon work
343,Which are the prospering towns in Kerala?,prosper town kerala
344,Why are there so many Christians in Kerala?,mani christian kerala
345,What is the best way to gain confidence?,best way gain confid
346,How can I speak with more clarity and confidence?,speak clariti confid
347,Does anyone see the relation between Greek gods and Hindu gods?,anyon see relat greek god hindu god
348,"What parallelism can we draw between gods of Hindu mythology, Greek mythology, Egyptian mythology, etc.?",parallel draw god hindu mytholog greek mytholog egyptian mytholog etc
349,How do I switch from Apple Music to Spotify?,switch appl music spotifi
350,Should I switch from Spotify to Apple Music?,switch spotifi appl music
351,Which is the best fixed income fund?,best fix incom fund
352,What is the best fixed income fund?,best fix incom fund
353,What is it like to live in Cologne?,like live cologn
354,"What is it like to live in Köln, Germany?",like live köln germani
355,"Between Robert De Niro and Al Pacino, who is more successful?",robert de niro al pacino success
356,"Who do you regard as the best actor, Robert De Niro or Al Pacino?",regard best actor robert de niro al pacino
357,Why does some people prefer small families.?,peopl prefer small famili
358,Why do some people prefer to live with small family?,peopl prefer live small famili
360,Do animals (besides humans) kiss?,anim besid human kiss
361,How do you get deleted Instagram chats?,get delet instagram chat
362,How can I view deleted Instagram dms?,view delet instagram dm
363,How can I stop being addicted to love?,stop addict love
364,How do I stop being addicted to someone?,stop addict someon
365,What if I hired two private eyes and ordered them to follow each other?,hire two privat eye order follow
366,Would I be able to hire two private investigators and then get them to follow each other?,would abl hire two privat investig get follow
367,How do I find a startup accelerator?,find startup acceler
368,How do startup accelerators give you the funding?,startup acceler give fund
369,How can I check wifi history and access it through android phones?,check wifi histori access android phone
370,I cannot open Quora through my WiFi router. Why can I only access it through a mobile network?,open quora wifi router access mobil network
371,"What was the significance of the battle of Somme, and how did this battle compare and contrast to the Battle of Rostov?",signific battl somm battl compar contrast battl rostov
372,"What was the significance of the battle of Somme, and how did this battle compare and contrast to the Battle of Riyadh?",signific battl somm battl compar contrast battl riyadh
373,What is the most creative college admissions essay you've read?,creativ colleg admiss essay 've read
374,Has any college admission officer cried in public while reading an applicant's essay?,colleg admiss offic cri public read applic 's essay
375,"What would happen if you cover one of your eyes with an eye patch for one year, then take the patch off?",would happen cover one eye eye patch one year take patch
376,What happens if eye medicine enters the eye?,happen eye medicin enter eye
377,Is it possible to pursue many different things in life?,possibl pursu mani differ thing life
380,"No fanboys please, but who was the true batman, Christian Bale or Ben Affleck?",fanboy plea true batman christian bale ben affleck
381,Which business is good start up in Hyderabad?,busi good start hyderabad
382,Which business is better to start in Hyderabad?,busi better start hyderabad
383,How can I stop being so possessive?,stop possess
384,How do I stop being over possessive for a person whom I love?,stop possess person love
385,Who was the wife of Lord Krishna?,wife lord krishna
386,Who is the father of lord Krishna?,father lord krishna
387,What is the best combination of courses I can take up along with CA to enhance my career?,best combin cours take along ca enhanc career
388,What courses must be taken along with CA course?,cours must taken along ca cours
389,How do you take a screenshot on a Mac laptop?,take screenshot mac laptop
390,How do I take a screenshot on my MacBook Pro? What are some instructions?,take screenshot macbook pro instruct
391,What is the work of an executive recruiter like?,work execut recruit like
392,What is it like to work with an executive recruiter?,like work execut recruit
393,Which psychological need does 'collecting' fulfill?,psycholog need 'collect fulfil
394,Why do people collect things?,peopl collect thing
395,What are some must watch TV shows before you die?,must watch tv show die
396,Are there any must watch TV shows?,must watch tv show
397,How can I become more fluent in Chinese?,becom fluent chine
398,How can I become fluent in chinese?,becom fluent chine
400,What will be the impact of scrapping of ₹500 and ₹1000 rupee notes on the real estate market?,impact scrap ₹ ₹ rupe note real estat market
401,What is the easiest way to become a billionaire($)?,easiest way becom billionair
402,What is the best way to become a billionaire?,best way becom billionair
403,Are there People who are willing to give free lectures or conduct free workshop in India colleges?,peopl will give free lectur conduct free workshop india colleg
404,"Almost two weeks in on Prozac, why do I still feel antisocial and still don't want to go to events? Why does my social behavior and mood change daily?",almost two week prozac still feel antisoci still n't want go event social behavior mood chang daili
405,What's the best way to start learning robotics?,'s best way start learn robot
406,What is the best way to start robotics? Which is the best development board that I can start working on it?,best way start robot best develop board start work
407,Why do people hate Hillary Clinton?,peopl hate hillari clinton
408,What are the reasons that people dislike Hillary Clinton?,reason peopl dislik hillari clinton
409,Why are women who are on their periods are regarded as 'unclean' such that they are prevented in taking an actived part in rituals (Hinduism)?,woman period regard 'unclean prevent take activ part ritual hinduism
410,"Why is it always expected that a woman should take care of housework, children and cooking (especially in Indian culture)? Are these activities the responsibility of women alone? Why do men not share equally in such work?",alway expect woman take care housework child cook especi indian cultur activ respons woman alon men share equal work
411,"If atheism is the lack of belief in gods, what is the term for the belief that there is no god?",atheism lack belief god term belief god
412,"Is atheism the lack of belief in gods, or a claim that god does not exist?",atheism lack belief god claim god exist
413,What is it like to be Jack Dorsey?,like jack dorsey
414,What is Jack Dorsey like?,jack dorsey like
